Title:,"Annual average concentrations of selected determinands of river water quality, by river location: ",,,,,,,,,,,,,,,,
North West,RIBBLE - SAMLESBURY                    ,1985,8.301960784,7.790196078,450.8627451,12.40196078,8.078431373,10.518,2.320588235,0.302941176,0.078627451,20.33669271,33.92156863,119.5869565,3.166666667,0.429607843,0.0376
North West,RIBBLE - SAMLESBURY                    ,1986,8.779591837,8.034,365.16,18.7,12.64,10.50979167,2.646938776,0.309,0.0594,15.73914133,31.04,116.48,,0.467,0.072666667
North West,RIBBLE - SAMLESBURY                    ,1987,9.032258065,7.720967742,383.4032258,15.68548387,9.161290323,9.763548387,2.552459016,0.223564516,0.068790323,16.12435441,33.38709677,120.3709677,,0.460183333,0.0225
North West,RIBBLE - SAMLESBURY                    ,1988,10.03676471,7.719402985,384.2686567,17.77205882,14.01388889,9.985441176,2.672058824,0.14261194,0.066104478,15.6269068,30.55970149,125.469697,,0.614772727,0.085
North West,RIBBLE - SAMLESBURY                    ,1989,10.94,7.994444444,425.4305556,11.7826087,7.676470588,9.320273973,2.534722222,0.249929577,0.100915493,20.28722138,34.25352113,122.1690141,,0.896338028,0.067068966
North West,RIBBLE - SAMLESBURY                    ,1990,10.14,8,389.0135135,24.10135135,17.50675676,9.329166667,2.704054054,0.190675676,0.068918919,14.65916847,30.33333333,117.3150685,,0.639797297,0.045311475
North West,RIBBLE - SAMLESBURY                    ,1991,10.52971014,7.919298246,421.6315789,11.33333333,7.160714286,9.642142857,2.184210526,0.33122807,0.067894737,21.29676486,37.58928571,124.6315789,,0.570175439,0.0552
North West,RIBBLE - SAMLESBURY                    ,1992,10.54032258,7.970491803,389.0819672,17.19672131,13.7704918,9.864333333,2.512295082,0.195327869,0.07852459,21.0429722,27.45901639,122.2295082,,0.431065574,0.050263158
North West,RIBBLE - SAMLESBURY                    ,1993,9.650943396,7.96122449,398.6122449,15.20833333,12.14583333,10.1146,2.07755102,0.258,0.059673469,22.7935838,32.44897959,129.0612245,,0.4134375,0.037277778
North West,RIBBLE - SAMLESBURY                    ,1994,10.65384615,8.068,371.1428571,24.52083333,14.52040816,10.60617021,2.8125,0.176081633,0.072102041,23.7425633,30.11836735,106.4489796,,0.647102041,0.055813953
North West,RIBBLE - SAMLESBURY                    ,1995,11.64,8.154,446.84,15.41,13.32,11.5706,2.621428571,0.15812,0.09558,38.42051057,36.992,103.5612245,,1.18308,0.0578125
North West,RIBBLE - SAMLESBURY                    ,1996,10.18958333,8.23877551,502.4489796,10.7244898,9.125,11.78958333,2.313541667,0.127857143,0.077632653,41.37912136,44.75510204,108.7,,0.957346939,0.09275
North West,RIBBLE - SAMLESBURY                    ,1997,11.29019608,8.294117647,435.8235294,13.2254902,11.11764706,11.42,2.117647059,0.128509804,0.068529412,36.04943629,35.65490196,118.6960784,,0.875,0.06464
North West,RIBBLE - SAMLESBURY                    ,1998,10.52857143,8.007,393.98,17.01,13.54,10.784,2.267346939,0.15732,0.0558,21.39708364,26.964,112.576,12.66597959,0.5039,0.064848
North West,RIBBLE - SAMLESBURY                    ,1999,11.45744681,8.0316,428.3125,15.15,12.7,11.03913043,1.915543478,0.13477551,0.048285714,23.8170356,29.36,121.4714286,8.634375,0.658021277,0.07865
North West,RIBBLE - SAMLESBURY                    ,2000,10.7893617,7.9962,377.5510204,32.66,25.02083333,10.85,2.357653061,0.13168,0.05728,19.57020953,25.9984,111.974,19.4055102,0.5231,
North West,RIBBLE - SAMLESBURY                    ,2001,10.55609756,8.248571429,1487.27907,22.31395349,18.04761905,11.20243902,2.246309524,0.168809524,0.076142857,27.85360275,417.1790698,120.5953488,19.70093023,0.717595238,
North West,RIBBLE - SAMLESBURY                    ,2002,9.736363636,7.959090909,372.3181818,26.63636364,25.59090909,11.34761905,2.0845,0.109772727,0.049136364,18.81941376,25.78636364,112.4863636,11.99666667,0.428,
North West,RIBBLE - SAMLESBURY                    ,2003,10.375,8.116666667,418.3333333,9.208333333,11.08333333,11.25833333,2.00625,0.089333333,0.0585,31.02952081,34.84166667,128.225,14.30083333,0.76225,0.051666667
North West,RIBBLE - SAMLESBURY                    ,2004,10.38,8.17,376.9,13.05,12.6,12,2.1195,0.1116,0.0436,18.09956968,33.49,132,15.221,0.4561,0.025
North West,RIBBLE - SAMLESBURY                    ,2005,10.43846154,8.101538462,359.4166667,20.625,18.16666667,11.95384615,1.790416667,0.058083333,0.016666667,10.53593946,30.30833333,,12.12454545,0.167,0.0275
North West,RIBBLE - SAMLESBURY                    ,2006,10.83333333,8.205,359.3333333,20.16666667,15.33333333,11.55833333,1.918333333,0.061483333,0.030215,14.96118903,29.40833333,,10.18083333,0.196583333,0.032055556
North West,RIBBLE - SAMLESBURY                    ,2007,12.55714286,8.175384615,310.2,35.95833333,27.83333333,11.03571429,2.7775,0.055316667,0.025848333,11.58440364,22.31666667,116.0833333,8.354166667,0.160516667,0.029833333
North West,RIBBLE - SAMLESBURY                    ,2008,9.857857143,8.066153846,338.5384615,20.01666667,20.08333333,11.65,1.883333333,0.032166667,0.02095,9.87571333,21.03333333,,5.4,0.092083333,0.025
North West,RIBBLE - SAMLESBURY                    ,2009,11.74333333,8.39,423.25,68.86666667,58.83333333,11.45083333,2.741666667,0.065,0.02435,13.63298678,27.98333333,,15.3,0.128083333,0.025
North West,RIBBLE - SAMLESBURY                    ,2010,8.543333333,7.970833333,455.5,41.38916667,34.93333333,10.27833333,2.658333333,0.077833333,0.060683333,14.54047478,34.74166667,,18.23333333,0.2185,0.025
North West,RIBBLE - SAMLESBURY                    ,2011,11.31666667,8.2875,389.5083333,10.8825,10.86666667,10.82416667,1.783333333,0.064416667,0.023258333,14.34118909,22.6,,7.083333333,0.29425,0.025
North East,AIRE - BEAL WEIR                     ,1980,13.70652174,7.341304348,787.6956522,33.95652174,22.93913043,8.038043478,6.045238095,2.031326087,0.330652174,23.39344494,98.76521739,96.15416667,,0.767125,0.4402
North East,AIRE - BEAL WEIR                     ,1981,14.07608696,7.373913043,747.2173913,22.19565217,14.8826087,8.357954545,5.31627907,1.521162791,0.328,23.7568231,95.41304348,84.90909091,,0.756818182,0.361954545
North East,AIRE - BEAL WEIR                     ,1982,14.36956522,7.410869565,819.5869565,29.33478261,20.4826087,7.965217391,5.714285714,2.124347826,0.343111111,23.39090683,113.3695652,97.7826087,,0.989130435,0.423391304
North East,AIRE - BEAL WEIR                     ,1983,14.36046512,7.428888889,843.4222222,30.78222222,21.83902439,7.3125,5.16,1.883555556,0.377555556,22.75596605,119.4818182,114.5128205,,1.311219512,0.427564103
North East,AIRE - BEAL WEIR                     ,1984,12.38,7.403333333,769,22.5,14.52,8.15862069,6.16,2.813,0.346428571,21.38208977,112.0866667,108.4551724,,1.243928571,0.426956522
North East,AIRE - BEAL WEIR                     ,1985,12.7826087,7.383870968,810.76,23.8,9.821428571,7.937931034,5.934482759,2.575516129,0.396461538,21.03571225,123.7,101.3230769,,1.20375,0.4108
North East,AIRE - BEAL WEIR                     ,1986,11.36666667,7.414705882,808.6923077,27.67647059,17.90909091,8.438571429,6.241176471,2.259117647,0.4325,20.93975988,106.1382353,70.9,12,1.104230769,0.4212
North East,AIRE - BEAL WEIR                     ,1987,12.02380952,7.34137931,816.92,24.62068966,15.38888889,8.196428571,6.796551724,2.277586207,0.502916667,18.9497026,109.6965521,86,6,1.0516,0.4312
North East,AIRE - BEAL WEIR                     ,1988,13.09090909,7.353846154,639.4736842,27.64285714,20.14285714,7.94,5.932,1.843333333,0.338,21.8279344,91.85555556,124.9,,0.944380952,0.3
North East,AIRE - BEAL WEIR                     ,1989,12.31111111,7.572727273,786.3157895,24,,8.339444444,6.186956522,2.408173913,0.288842105,17.53714116,100.7304348,105.64,,1.122368421,0.355454545
North East,AIRE - BEAL WEIR                     ,1990,13.72857143,7.391489362,924.9512195,26.59574468,7,8.960882353,5.955319149,2.130638298,0.299361702,22.92963304,119.2553191,103.4042553,,1.189787234,0.325
North East,AIRE - BEAL WEIR                     ,1991,12.635,7.363265306,1062.710526,17.95918367,12.81818182,8.05725,6.041666667,2.092244898,0.331326531,26.18821904,140.9673471,113.877551,,1.06244898,0.262181818
North East,AIRE - BEAL WEIR                     ,1992,11.82340426,7.4,867.4054054,17.66666667,8.875,8.40212766,5.287234043,1.915416667,0.253333333,24.69389642,110.4375,100,,0.805,0.317777778
North East,AIRE - BEAL WEIR                     ,1993,11.37,7.409302326,901,20,4.642857143,9.428571429,5.672093023,1.807906977,0.203488372,23.20262234,111.7116279,105.5348837,,0.77255814,0.4105
North East,AIRE - BEAL WEIR                     ,1994,14.68157895,7.375555556,881.1891892,18.53333333,16.88461538,7.5965625,4.748888889,1.274444444,0.283555556,27.43942592,113.8222222,103.0666667,,0.799555556,0.316642857
North East,AIRE - BEAL WEIR                     ,1995,11.96153846,7.346153846,1095.153846,17.30769231,12.55833333,9.272307692,4.346153846,1.326923077,0.338461538,31.80054637,151.9307692,115.3076923,,1.065384615,0.336923077
North East,AIRE - BEAL WEIR                     ,1996,10.5,7.58,1059.333333,17.46666667,9.428571429,8.894,4.846666667,1.562,0.314666667,35.38723467,150.2066667,109.2,,1.202666667,0.244
North East,AIRE - BEAL WEIR                     ,1997,11.46875,7.575,1017.9375,17.375,11.25,8.613125,5.30625,1.31375,0.309375,32.32580044,153.44375,114.08125,,1.086875,0.094375
North East,AIRE - BEAL WEIR                     ,1998,11.72894737,7.675555556,830,11.33333333,,9.027105263,3.744444444,1.266666667,0.252222222,29.371267,111.4888889,110.8,,0.87,0.072533333
North East,AIRE - BEAL WEIR                     ,1999,11.09615385,7.526363636,780.4545455,9.636363636,,9.563478261,3.34,0.916636364,0.227181818,29.01116602,112.55,112.1727273,,0.892727273,
North East,AIRE - BEAL WEIR                     ,2000,9.952631579,7.562666667,551.6666667,26.9,,9.97,3.966666667,0.5426,0.137,17.28323642,65.88666667,94.44666667,,0.5142,0.048357143
North East,AIRE - BEAL WEIR                     ,2001,11.0625,7.61875,869,18.125,,9.91875,4.1,0.77875,0.16975,28.19339013,131.2875,114.525,,0.833875,0.049625
North East,AIRE - BEAL WEIR                     ,2002,12.125,7.466666667,637.5833333,30.95833333,,9.031666667,4.054545455,0.573454545,0.158363636,21.47454338,79.09090909,96.49090909,,0.475545455,0.033175
North East,AIRE - BEAL WEIR                     ,2003,13.075,7.358333333,792.1666667,10.75,4.681818182,8.379166667,3.175,0.750083333,0.196833333,31.23618745,113.8607508,123.15,,0.729416667,0.053666667
North East,AIRE - BEAL WEIR                     ,2004,12.04166667,7.525,542.5555556,16.41666667,9.958333333,9.464166667,3.611111111,0.615909091,0.1735,25.02142615,97.25833333,87.85555556,,0.454166667,0.043541667
North East,AIRE - BEAL WEIR                     ,2005,12.02307692,7.553846154,689,10.15384615,5.076923077,9.501538462,3.358333333,0.727923077,0.203153846,27.01768969,111.6647692,102.3677692,4.1375,0.611538462,0.055346154
North East,AIRE - BEAL WEIR                     ,2006,11.5,7.5,652,8.583333333,7.041666667,9.464166667,3.249166667,0.721166667,0.22745,28.65654485,92.1,104.15,13.06583333,0.548166667,0.04445
North East,AIRE - BEAL WEIR                     ,2007,12.35833333,7.575,747.1666667,10.99166667,10,9.461666667,3.027083333,0.625833333,0.18825,28.5421401,93.64166667,108.2166667,14.16666667,0.579333333,0.0335
North East,AIRE - BEAL WEIR                     ,2008,10.96923077,7.55,543.5,18.425,14.75,9.779166667,3.326666667,0.597384615,0.166391667,18.89523627,69.93333333,,12.875,0.411333333,0.025
North East,AIRE - BEAL WEIR                     ,2009,11.425,7.675,764.1666667,13.10833333,11.33333333,9.719166667,3.291666667,0.487083333,0.132225,24.34975955,104.4,,35.88916667,0.54775,0.025
North East,AIRE - BEAL WEIR                     ,2010,10.74083333,7.543333333,731.25,10.62,10,10.45166667,2.329166667,0.310416667,0.10075,23.83309293,102.2083333,,23.86583333,0.456083333,0.025
North East,AIRE - BEAL WEIR                     ,2011,12.4775,7.77,786,10.74166667,11.84166667,9.88,2.425,0.246333333,0.084325,23.40868821,100.9916667,,21.50833333,0.781166667,0.025
North East,DON - DONCASTER                     ,1980,11.03191489,7.470212766,1190.319149,43.6,33.32978723,8.808510638,5.044186047,5.14,0.403617021,23.18027131,184,120.25,,0.432375,0.320714286
North East,DON - DONCASTER                     ,1981,11.75,7.509090909,1187.363636,71.96818182,55.97272727,8.531818182,5.458536585,4.89575,0.358333333,22.55407945,194.6590909,124.047619,,0.653333333,0.282142857
North East,DON - DONCASTER                     ,1982,12,7.559183673,1311.061224,52.98367347,39.90612245,8.573469388,4.542222222,5.528979592,0.410208333,22.85896435,222.3877551,134.625,,0.88125,0.30925
North East,DON - DONCASTER                     ,1983,10.33823529,7.544117647,1222.636364,20.35294118,14.84444444,8.340625,6.312903226,5.21,0.187272727,24.22428337,201.8484848,121.3181818,,0.918181818,0.713
North East,DON - DONCASTER                     ,1984,10.76097561,7.58372093,1211.813953,25.53488372,,9.175,5.785714286,4.967674419,0.442631579,23.19516782,199.6511628,121.1666667,,1.129166667,0.3695
North East,DON - DONCASTER                     ,1985,11.47435897,7.587179487,1430.428571,15.525,,9.559459459,6.105263158,7.265128205,0.485945946,22.03632991,265.6315789,149.3714286,,1.470882353,0.2736
North East,DON - DONCASTER                     ,1986,9.519047619,7.488636364,1126.264706,50.27906977,,11.29,6.526315789,4.778604651,0.377674419,25.28199091,188.3095238,115.4545455,,1.069117647,0.257058824
North East,DON - DONCASTER                     ,1987,9.725,7.597619048,1152,26.83333333,,10.03846154,5.05,4.53952381,0.382619048,22.70802501,180.2769231,132.2580645,,1.188064516,0.261666667
North East,DON - DONCASTER                     ,1988,10.75853659,7.563414634,1028.088235,23.58536585,,9.3,4.731707317,4.204390244,0.371463415,22.13529403,160.0341463,127.7941176,,1.298181818,0.252727273
North East,DON - DONCASTER                     ,1989,10.43103448,7.551612903,1197.52,20.22580645,,9.248275862,4.623333333,5.072580645,0.196774194,21.52428363,185.2903226,136.32,,1.9154,0.249545455
North East,DON - DONCASTER                     ,1990,12.11111111,7.588888889,1289.037037,18.48148148,,9.948148148,4.959259259,4.897037037,0.577692308,22.78253748,185.3296293,133.4444444,,1.461481481,0.215
North East,DON - DONCASTER                     ,1991,11.5,7.475,1439.291667,15.97916667,,9.512765957,4.916666667,5.862916667,0.591875,22.24157523,254.1270838,159.0208333,,1.421666667,0.181208333
North East,DON - DONCASTER                     ,1992,11.454,7.431372549,1137.215686,16.96078431,,9.394,4.194117647,3.078235294,0.463921569,29.84856854,170.5941176,118.5294118,,1.154705882,0.205117647
North East,DON - DONCASTER                     ,1993,10.54,7.424,1051.36,29.52,,10.21818182,4.038,2.2434,0.31412,32.50482543,159.966,117.2,,0.9358,0.181428571
North East,DON - DONCASTER                     ,1994,11.47083333,7.477083333,1032.208333,22.41666667,,10.25217391,3.589583333,1.132708333,0.281666667,34.25684192,144.1083333,109.6666667,,0.990208333,0.14852381
North East,DON - DONCASTER                     ,1995,11.875,7.528571429,1027.77551,21.71428571,,9.900851064,3.932653061,0.994081633,0.211020408,34.91883044,133.2306122,118.1020408,,1.444897959,0.11375
North East,DON - DONCASTER                     ,1996,11.36734694,7.772,1128.4,13.83,,10.00066667,3.704,0.8894,0.2708,44.27508143,150.412,118.64,,2.0028,0.08952381
North East,DON - DONCASTER                     ,1997,11.248,7.764,1037.08,24.88,,9.660408163,3.662,0.7882,0.252,38.26373915,139.86,115.662,,1.584,0.027857143
North East,DON - DONCASTER                     ,1998,11.63061224,7.767916667,935.0833333,28,,9.444897959,3.225,0.530416667,0.20875,40.11454969,115.1395833,117.0145833,,1.54125,0.034238095
North East,DON - DONCASTER                     ,1999,12.03958333,7.645,855.2894737,16.60526316,,9.289777778,3.262162162,0.514210526,0.175947368,35.05213947,106.1894737,123.1368421,,1.472026316,0.0425
North East,DON - DONCASTER                     ,2000,12.32790698,7.703571429,832.6428571,16.07142857,,9.168235294,2.857142857,0.442928571,0.140785714,34.94142519,92.38809524,117.9357143,8.91,1.380222222,0.040580645
North East,DON - DONCASTER                     ,2001,11.23571429,7.614,875.7857143,22.03333333,,10.38714286,3.113333333,0.7064,0.1408,31.95530303,106.78,127.3214286,9.966666667,1.366454545,0.031428571
North East,DON - DONCASTER                     ,2002,14.9125,7.65,802.1428571,12.5,,9.205,2.557142857,0.307,0.139285714,30.25346646,87.47142857,129.4714286,26.40428571,0.921857143,0.030857143
North East,DON - DONCASTER                     ,2003,12.93636364,7.627272727,892.3636364,12.22727273,6.931818182,8.831818182,2.7,0.408636364,0.176636364,35.79895757,111.3856364,140.6363636,21.24545455,1.214090909,0.025
North East,DON - DONCASTER                     ,2004,12.325,7.425,737.4,19.08333333,9.916666667,9.161666667,2.958333333,0.347833333,0.1685,32.65702065,99.54083333,85.8,13.22666667,0.976833333,0.025
North East,DON - DONCASTER                     ,2005,13.20833333,7.666666667,794.25,12.5,6.208333333,9.428333333,2.741666667,0.432083333,0.180416667,34.86023472,112.9,,15.73,1.121583333,0.059083333
North East,DON - DONCASTER                     ,2006,12.64166667,7.591666667,851.0833333,10.58333333,7.5,9.0675,2.426666667,0.514416667,0.192,29.49797334,105.7333333,,11.86083333,0.975916667,0.0305
North East,DON - DONCASTER                     ,2007,11.27272727,7.581818182,864,19.7,16.54545455,9.899090909,2.32,0.357,0.143309091,32.20778909,103.5,,17.69909091,0.904727273,0.027272727
North East,DON - DONCASTER                     ,2008,11.03333333,7.65,741.8333333,25.86666667,20.41666667,9.728333333,2.433333333,0.328666667,0.119233333,24.96237854,88.23333333,,8.466666667,0.629,0.025
North East,DON - DONCASTER                     ,2009,10.93333333,7.483333333,745,26.075,17.925,9.59,2.404166667,0.317666667,0.1154,25.92190225,87.45833333,,7.525,0.5375,0.025
North East,DON - DONCASTER                     ,2010,10.37,7.57,942.2,12.65,11.01666667,10.453,2.05,0.3472,0.132595,33.80106816,94.6,,11.59166667,0.9495,0.025
North East,DON - DONCASTER                     ,2011,11.88235294,7.84375,934.4117647,12.24833333,10,9.507647059,2.258333333,0.268705882,0.136982353,33.02671949,97.18333333,,11.75,1.074058824,0.04375
